Time_s,Normal_Force_N
1.28002370369511,1799.11198749767
1.2800423718536,1799.11563441124
1.28006104026929,1799.11928143222
1.28007970880176,1799.12292853975
1.28009837750283,1799.12657573821
1.28011704637461,1799.13022302873
1.28013571539871,1799.1338704086
1.28015438474541,1799.13751790441
1.28017305411971,1799.14116547419
1.280191723788,1799.14481315249
1.28021039351962,1799.14846090906
1.28022906363974,1799.15210878999
1.28024773389983,1799.15575676433
1.28026640428956,1799.15940482468
1.28028507480122,1799.16305296845
1.28030374538088,1799.16670118656
1.28032241626138,1799.17034951437
1.28034108722344,1799.17399792358
1.28035975863326,1799.17764646716
1.28037843014129,1799.18129509939
1.28039710183778,1799.18494382612
1.28041577359437,1799.188592628
1.28043444541637,1799.19224150231
1.28045311739139,1799.19589046244
1.28047178958193,1799.19953952085
1.28049046204825,1799.20318868944
1.28050913475615,1799.20683796499
1.28052780760987,1799.21048733167
1.28054648073497,1799.21413680649
1.28056515404746,1799.21778637929
1.28058382736155,1799.2214360186
1.28060250084435,1799.22508574516
1.28062117454895,1799.22873557127
1.28063984846356,1799.23238549735
1.28065852252185,1799.23603551292
1.28067719699169,1799.23968565866
1.28069587147926,1799.24333587948
1.2807145461688,1799.24698619444
1.28073322084203,1799.25063657237
1.28075189581933,1799.25428705843
1.28077057084932,1799.25793762104
1.28078924618459,1799.26158829451
1.28080792171927,1799.26523906838
1.28082659744319,1799.26888993908
1.28084527321971,1799.27254088423
1.2808639493393,1799.27619194586
1.28088262568997,1799.27984311398
1.28090130220471,1799.28349437608
1.28091997868271,1799.28714569787
1.28093865536491,1799.29079711132
1.28095733226866,1799.29444862513
1.28097600937902,1799.29810023855
1.28099468660495,1799.30175193695
1.28101336417613,1799.30540375416
1.28103204190912,1799.30905566729
1.28105071958482,1799.31270763721
1.28106939770473,1799.31635973645
1.28108807593431,1799.32001192528
1.28110675428928,1799.32366419879
1.28112543297177,1799.32731658824
1.28114411171496,1799.33096905701
1.28116279070436,1799.33462162778
1.28118146966819,1799.33827426153
1.28120014901948,1799.34192701673
1.28121882828685,1799.34557982926
1.28123750798297,1799.34923276875
1.28125618784816,1799.35288580686
1.28127486788751,1799.35653893911
1.28129354808245,1799.36019216173
1.28131222844318,1799.36384547562
1.28133090892546,1799.36749887393
1.28134958955015,1799.37115235868
1.28136827059231,1799.37480597406
1.28138695147635,1799.37845963666
1.28140563273773,1799.38211341618
1.28142431410627,1799.38576728261
1.28144299566922,1799.38942124425
1.28146167745752,1799.39307530755
1.2814803593202,1799.39672944971
1.28149904143381,1799.40038369457
1.28151772372568,1799.40403803501
1.28153640629735,1799.40769248587
1.28155508889665,1799.41134700977
1.2815737716803,1799.4150016247
1.28159245474183,1799.41865634891
1.28161113781514,1799.42231114342
1.28162982125305,1799.42596605716
1.28164850479008,1799.42962105696
1.28166718859928,1799.43327616421
1.28168587253186,1799.4369313592
1.28170455663659,1799.44058664602
1.28172324094521,1799.44424203051
1.28174192538988,1799.44789750293
1.28176060990797,1799.4515530515
1.28177929465793,1799.45520869928
1.28179797966758,1799.45886445497
1.28181666478533,1799.46252029607
1.28183535009224,1799.46617623128
1.28185403573442,1799.46983228551
1.28187272147516,1799.4734884257
1.28189140742423,1799.47714466317
1.28191009338802,1799.4808009692
1.28192877955229,1799.48445736802
1.28194746607591,1799.48811388946
1.2819661527895,1799.49177051209
1.28198483958507,1799.49542721472
1.28200352654885,1799.49908400714
1.28202221382007,1799.50274091336
1.28204090113314,1799.50639789555
1.2820595886529,1799.51005497291
1.28207827630586,1799.51371213731
1.28209696413323,1799.51736939382
1.28211565217473,1799.52102674971
1.28213434028066,1799.52468418247
1.28215302857298,1799.52834170735
1.2821717171213,1799.53199933828
1.282190405724,1799.53565704574
1.28220909455272,1799.53931485158
1.28222778352657,1799.54297274696
1.28224647284778,1799.54663076248
1.28226516235357,1799.55028887789
1.28228385187837,1799.55394706306
1.2823025417031,1799.55760535712
1.28232123172245,1799.56126375059
1.28233992175536,1799.56492221286
1.28235861208716,1799.56858078368
1.28237730261864,1799.57223945466
1.28239599323585,1799.57589820608
1.28241468415802,1799.57955706919
1.28243337522068,1799.58321602362
1.28245206645107,1799.58687506991
1.28247075792843,1799.59053422079
1.28248944960257,1799.59419347064
1.28250814146547,1799.59785281712
1.28252683346239,1799.6015122511
1.28254552555825,1799.60517176527
1.2825642178055,1799.60883136664
1.28258291039921,1799.61249108759
1.2826016030552,1799.61615088888
1.28262029581312,1799.61981076952
1.28263898893243,1799.62347077066
1.28265768213063,1799.62713085496
1.28267637552519,1799.63079103419
1.28269506908048,1799.63445130485
1.28271376280927,1799.63811166834
1.28273245675342,1799.64177213158
1.28275115086553,1799.64543268833
1.28276984514014,1799.64909333653
1.28278853943283,1799.6527540528
1.28280723391428,1799.65641485998
1.28282592868627,1799.66007577856
1.28284462381595,1799.66373682304
1.28286331897718,1799.66739794415
1.28288201438288,1799.67105916666
1.28290070993678,1799.67472047983
1.28291940563721,1799.6783818814
1.28293810166344,1799.68204339953
1.28295679778602,1799.68570500288
1.28297549412893,1799.68936670539
1.28299419056164,1799.69302848885
1.28301288717655,1799.69669036459
1.28303158407536,1799.70035235094
1.28305028114486,1799.70401443326
1.28306897811535,1799.70767656585
1.28308767536319,1799.71133880018
1.28310637286892,1799.71500114274
