Time_s,Distance_m
0.414647967060114,0.670908753567891
0.414654869644448,0.670932440470898
0.41466177154142,0.670956125435657
0.414668673016548,0.670979809373235
0.414675573847118,0.671003491519242
0.414682474145553,0.671027172259379
0.41468937390209,0.671050851560046
0.414696273050928,0.671074529195317
0.414703171612569,0.67109820523544
0.414710069748408,0.671121880234235
0.414716967211569,0.671145553344305
0.414723864121032,0.671169224973894
0.414730760472189,0.671192895107086
0.414737656263685,0.671216563739125
0.414744551536965,0.671240231012169
0.414751446234882,0.671263896729967
0.414758340382099,0.671287560977065
0.414765233949963,0.671311223655017
0.414772126928692,0.671334884730133
0.414779019267024,0.671358544026344
0.414785911025241,0.671382201750457
0.414792802265823,0.671405858116864
0.414799692955448,0.671429513011066
0.414806583041779,0.6714531662533
0.414813472643608,0.67147681825127
0.414820361626103,0.671500468542001
0.414827250092292,0.671524117479083
0.414834137883906,0.671547764519058
0.414841025150128,0.671571410173983
0.41484791195832,0.671595054675046
0.414854798219895,0.671618697718
0.414861683861927,0.671642339052366
0.414868568828101,0.671665978484668
0.414875453353908,0.671689616823361
0.41488233733815,0.671713253720885
0.414889220766251,0.671736889127096
0.414896103600399,0.671760522912052
0.414902985841709,0.671784155079476
0.414909867464676,0.671807785541677
0.414916748548187,0.671831414569434
0.414923629070469,0.671855042087885
0.414930509117214,0.671878668391197
0.414937388504027,0.671902292846049
0.414944267348842,0.671925915857327
0.414951145663924,0.671949537467053
0.414958023416896,0.671973157563938
0.414964900744598,0.671996776617844
0.414971777499384,0.672020394121604
0.414978653595315,0.672044009779967
0.414985529003486,0.672067623493531
0.414992403981777,0.67209123614789
0.414999278311885,0.67211484699317
0.415006152234189,0.672138456854884
0.415013025460835,0.672162064744244
0.415019898202332,0.672185671384193
0.415026770283552,0.672209276173085
0.415033642036044,0.67223288024967
0.415040513257755,0.672256482919827
0.415047383714766,0.672280083379925
0.415054253629831,0.672303682395021
0.41506112304386,0.672327280105545
0.415067991822679,0.672350876050489
0.415074860083524,0.672374470632479
0.415081727820741,0.672398063832
0.415088595021789,0.67242165560587
0.415095461632881,0.672445245769204
0.415102327704596,0.672468834495667
0.415109193201998,0.672492421665131
0.415116058183458,0.672516007478036
0.415122922646686,0.672539591926423
0.415129786467549,0.672563174583698
0.415136649783529,0.672586755922116
0.415143512478633,0.672610335543039
0.415150374524456,0.672633913348756
0.415157236245269,0.672657490453369
0.415164097198155,0.672681065334892
0.415170957784598,0.672704639372766
0.415177817745149,0.67272821167539
0.415184677152612,0.672751782492832
0.415191536069096,0.672775352038418
0.415198394375495,0.672798919902756
0.41520525210018,0.672822486183241
0.415212109292767,0.672846051050265
0.415218965951971,0.672869614499324
0.41522582203051,0.672893176367822
0.415232677680368,0.672916737177986
0.41523953265319,0.672940296076194
0.41524638707303,0.672963853488674
0.41525324095914,0.672987409481499
0.415260094222248,0.673010963747744
0.415266947139758,0.673034517240744
0.415273799332331,0.673058068656609
0.415280650972713,0.673081618588966
0.415287502024303,0.673105166911907
0.415294352593903,0.673128713992436
0.415301202559642,0.673152259411551
0.415308051945816,0.673175803252662
0.415314900837122,0.6731993458068
0.415321749147585,0.67322288677834
0.415328596987781,0.673246426547288
0.415335444208717,0.673269964601375
0.415342290994376,0.673293501572965
0.415349137204649,0.673317036980323
0.415355982825727,0.673340570775868
0.415362827914621,0.673364103155491
0.415369672463397,0.67338763409182
0.415376516363759,0.673411163212436
0.415383359714061,0.673434690855368
0.415390202451799,0.673458216805619
0.415397044884488,0.67348174212037
0.415403886591287,0.673505265352615
0.415410727770848,0.67352878718525
0.415417568473366,0.673552307790761
0.415424408554619,0.67357582667317
0.415431248151493,0.673599344303047
0.415438087258723,0.673622860662194
0.41544492556647,0.673646374685117
0.415451763487228,0.673669887790092
0.415458600824427,0.673693399301106
0.415465437669246,0.673716909531592
0.415472273867345,0.673740417950711
0.41547910959095,0.673763925150619
0.415485944822517,0.673787431070896
0.41549277952865,0.673810935596599
0.415499613595515,0.67383443833615
0.415506447296362,0.673857940229183
0.415513280312133,0.673881440178322
0.415520112767658,0.673904938612766
0.415526944686574,0.673928435613715
0.415533776058743,0.673951931146197
0.415540606917725,0.673975425325547
0.415547437173859,0.673998917843274
0.415554266956471,0.674022409144106
0.415561096210232,0.674045899037635
0.415567924922432,0.674069387480056
0.415574752905871,0.674092873827345
0.415581580396818,0.674116358892092
0.415588407440445,0.674139842829593
0.415595234057528,0.674163325711237
0.415602059914095,0.674186806388086
0.415608885298757,0.674210285852841
0.415615710218273,0.674233764128661
0.415622534487551,0.674257240578725
0.415629358198677,0.674280715519701
0.415636181480617,0.674304189395179
0.415643004145983,0.674327661560395
0.415649826237841,0.674351132163402
0.415656647716275,0.674374601066772
0.415663468777211,0.674398068944478
0.415670289287677,0.674421535338948
0.415677109332072,0.674445000540463
0.41568392877642,0.674468464087975
0.415690747601681,0.674491925915857
0.415697565833035,0.674515386110635
0.415704383620174,0.674538845187286
0.415711200814584,0.674562302634692
0.415718017489324,0.674585758704144
0.415724833693443,0.674609213564332
0.415731649309678,0.674632666811654
0.415738464442083,0.674656118804072
0.415745278934954,0.67467956900568
0.415752093044915,0.674703018299489
0.415758906567953,0.674726465983347
0.415765719395556,0.674749911683705
0.415772531729341,0.674773356094309
0.415779343696765,0.674796799653714
0.415786155095554,0.674820241665708
0.415792965917338,0.674843682101382
0.415799776125689,0.674867120835253
0.415806585850054,0.674890558312746
0.415813394992727,0.674913994197479
0.415820203519919,0.674937428373051
0.415827011586057,0.674960861370885
0.415833819098225,0.674984292871076
0.415840625956123,0.675007722528282
0.415847432483733,0.675031151457584
0.415854238505303,0.675054579053946
0.415861043889914,0.675078004866617
0.415867848591457,0.675101428736755
0.41587465305207,0.67512485218626
0.415881456860324,0.675148273798756
0.415888260196158,0.67517169419357
0.415895062949278,0.675195112990925
0.415901865120454,0.675218530193361
0.415908666731071,0.675241945874395
0.415915467822584,0.675265360176653
0.415922268390314,0.675288773083928
0.415929068603581,0.675312185179071
0.415935868137543,0.675335595343613
0.415942667193169,0.675359004269364
0.415949465705775,0.67538241173353
0.415956263582756,0.675405817417162
0.415963061067148,0.675429222156961
0.41596985786385,0.675452624936752
0.41597665407816,0.675476026118987
0.415983449814497,0.675499426063116
0.415990245089687,0.675522824826983
0.415997039897877,0.675546222390358
0.416003834074516,0.675569618186515
0.416010627633201,0.675593012262167
0.416017420655684,0.675616404898729
0.416024213260373,0.675639796503862
0.416031005259766,0.675663186431782
0.416037796689391,0.675686574804731
0.416044587695435,0.675709962126059
0.416051378049005,0.675733347607391
0.416058167892157,0.675756731737857
0.416064957160103,0.67578011429423
0.416071745966477,0.675803495667774
0.416078534343466,0.675826875969267
0.416085322128242,0.675850254637809
0.416092109322126,0.675873631677844
0.416098895965825,0.67589700722948
0.416105682088018,0.675920381391396
0.416112467725728,0.675943754291026
0.416119252891255,0.675967125970648
0.416126037397016,0.675990495784032
0.41613282146866,0.676013864508343
0.416139604972248,0.676037231682119
0.416146387851363,0.676060597110915
0.416153170383601,0.676083961750896
0.416159952318578,0.676107324739449
0.41616673370076,0.676130686229646
0.416173514614262,0.676154046511173
0.416180294972849,0.676177405286857
0.416187074852018,0.676200762816695
0.416193854139613,0.6762241187142
0.416200632827657,0.676247472951785
0.416207411024725,0.676270825903416
0.416214188719924,0.676294177531481
0.416220965797949,0.676317527438604
0.416227742408226,0.676340876139528
0.416234518444382,0.676364223267653
0.416241293997021,0.676387569135063
0.416248069119963,0.67641091392712
0.416254843723449,0.67643425733446
0.416261617688533,0.676457598947123
0.416268391147919,0.676480939222275
0.416275164052184,0.676504277989518
0.416281936457404,0.676527615441987
0.416288708336855,0.676550951487505
0.416295479646405,0.676574285973895
0.416302250478242,0.676597619218747
0.416309020731245,0.676620950873488
0.416315790533442,0.676644281379236
0.416322559817368,0.676667610503406
0.416329328526207,0.676690938050095
0.416336096856653,0.676714264697092
0.41634286442854,0.676737589134085
0.416349631577527,0.676760912517809
0.416356398298422,0.676784234830299
0.416363164467187,0.676807555643954
0.416369930040143,0.676830874808122
0.416376695007971,0.676854192290577
0.416383459500337,0.676877508538154
0.416390223499102,0.676900823488247
0.416396987010092,0.676924137160845
0.416403750053671,0.676947449626059
0.416410512480596,0.676970760369349
0.416417274222315,0.676994069154286
0.416424035625189,0.677017377174744
0.416430796435389,0.677040683555637
0.41643755677571,0.677063988720172
0.416444316587652,0.6770872924666
0.416451075849347,0.677110594719431
0.416457834688826,0.677133895919958
0.416464592895203,0.677157195341055
0.416471350522742,0.677180493169697
0.416478107707706,0.677203789875575
0.416484864374437,0.677227085197758
0.416491620503766,0.677250379070057
0.416498376107749,0.67727367153395
0.416505131165668,0.677296962517907
0.416511885749002,0.677320252268288
0.416518639729729,0.677343540343581
0.416525393379562,0.677366827680583
0.416532146349869,0.677390113077084
0.416538898777815,0.677413397005937
0.416545650810272,0.67743667997351
0.416552402195478,0.677459961111565
0.416559153120083,0.677483241063632
0.416565903437581,0.677506519324403
0.416572653346061,0.677529796576897
0.416579402772374,0.677553072568773
0.416586151608722,0.677576346928185
0.41659289997872,0.677599620081343
0.416599647750773,0.677622891574323
0.416606395131438,0.6776461621194
0.416613141854628,0.677669430798791
0.416619888051536,0.677692698064866
0.416626633778561,0.677715964112048
0.416633379048821,0.6777392289855
0.416640123647297,0.677762491943506
0.416646867868892,0.677785754003131
0.416653611550801,0.67780901460275
0.416660354772134,0.67783227401514
0.416667097444275,0.677855531934551
0.416673839426558,0.677878787875661
0.416680580978213,0.677902042732565
0.416687321996184,0.677925296149689
0.41669406266696,0.677948548770254
0.416700802683372,0.677971799534562
0.416707542240932,0.677995049116959
0.416714281138527,0.678018296823571
0.41672101962024,0.678041543496326
0.416727757640174,0.678064788976808
0.41673449505441,0.678088032768424
0.416741231916706,0.678111275056528
0.416747968310117,0.678134516127571
0.416754704125866,0.67815775560617
0.416761439484679,0.678180993908757
0.416768174322923,0.678204230815697
0.416774908661699,0.678227466399701
0.416781642505432,0.678250700675947
0.416788375965308,0.678273934027998
0.416795108738677,0.678297165411475
0.416801841064547,0.678320395650978
0.416808572730826,0.678343624014573
0.416815303952479,0.678366851243925
0.416822034681622,0.678390077173713
0.41682876495511,0.678413301931032
0.416835494657006,0.678436525115718
0.416842223827428,0.678459746866112
0.416848952493314,0.678482967275084
0.416855680666316,0.678506186382753
0.416862408387087,0.67852940432933
0.416869135588696,0.678552620883747
0.41687586219327,0.678575835777151
0.4168825882368,0.678599049133653
0.416889313932227,0.678622261688086
0.416896038966903,0.678645472361312
0.416902763470902,0.67866868160216
0.416909487547429,0.678691889766748
0.416916210971742,0.678715096079288
0.41692293417002,0.678738302010681
0.416929656706114,0.678761506055428
0.416936378783883,0.678784708917084
0.416943100369422,0.678807910478536
0.4169498213077,0.678831110204549
0.416956541751653,0.678854308622926
0.416963261722731,0.678877505807633
0.41696998117212,0.678900701590073
0.41697670022763,0.678923896411371
0.416983418542202,0.678947089073344
0.41699013650898,0.678970280933094
0.416996853867931,0.678993471092837
0.417003570833962,0.679016660294409
0.417010287296373,0.679039848155554
0.417017003135653,0.679063034263578
0.417023718460138,0.679086218992397
0.417030433397913,0.679109402784151
0.417037147722915,0.679132584858253
0.417043861702328,0.679155766137102
0.417050574953095,0.679178945298028
0.417057287784627,0.679202123409248
0.417064000090081,0.679225300101767
0.417070711951492,0.67924847565876
0.417077423188124,0.679271649456058
0.417084133920404,0.679294821909397
0.417090844171365,0.679317993098222
0.417097553857989,0.679341162735771
0.417104263099408,0.67936433123334
0.417110971818308,0.679387498323855
0.417117680136852,0.679410664429098
0.417124387901582,0.679433829019044
0.41713109524933,0.679456992566142
0.41713780206112,0.679480154659428
0.417144508287879,0.679503315129329
0.417151214048443,0.679526474386162
0.417157919235056,0.67954963205768
0.417164623888347,0.679572788284113
0.417171328140795,0.67959594352292
0.417178031738417,0.679619096896802
0.417184734916786,0.679642249219299
0.41719143764799,0.679665400393933
0.41719813980805,0.67968854999239
0.417204841301435,0.67971169768459
0.41721154245982,0.679734844616084
0.417218243076101,0.679757990071427
0.417224943261137,0.679781134433463
0.417231642959695,0.679804277511316
0.417238342010303,0.679827418747111
0.417245040773154,0.679850559385017
0.417251738902194,0.679873698229519
0.417258436378793,0.679896835216142
0.417265133581849,0.679919971653746
0.417271830249366,0.679943106637155
0.417278526368847,0.679966240123093
0.417285221957719,0.679989372171679
0.417291917062106,0.680012502942167
0.417298611671401,0.680035632397829
0.41730530579316,0.68005876056468
0.417311999503029,0.680081887704001
0.417318692608897,0.680105013151943
0.417325385304209,0.680128137576793
0.417332077396913,0.680151260314891
0.41733876894931,0.680174381581396
0.417345459985027,0.680197501457854
0.417352150490263,0.680220619896484
0.417358840546009,0.680243737177058
0.417365530144676,0.680266853273275
0.417372219116875,0.680289967599708
0.41737890771113,0.68031308101506
0.417385595711786,0.680336192774025
0.417392283391689,0.680359303819392
0.417398970410265,0.680382412974134
0.417405657020387,0.68040552111204
0.417412343041399,0.680428627608696
0.417419028567169,0.680451732788405
0.417425713584305,0.680474836604801
0.417432398109961,0.68049793911708
0.417439082170743,0.680521040417106
0.417445765766614,0.680544140504673
0.417452448837793,0.680567239173074
0.417459131224931,0.680590335871448
0.417465813322981,0.680613431964804
0.417472494901425,0.680636526656307
0.417479175843028,0.680659619540635
0.417485856376472,0.680682711408138
0.417492536338874,0.680705801695712
0.417499215840907,0.680728890785828
0.417505895005816,0.680751979104433
0.417512573549336,0.680775065668803
0.417519251636575,0.680798151049597
0.417525929030159,0.680821234426135
0.417532606005887,0.680844316751746
0.417539282623676,0.680867398233488
0.417545958688586,0.680890478197361
0.417552634184411,0.680913556587247
0.417559309168607,0.680936633601681
0.417565983687709,0.680959709401458
0.417572657745688,0.68098278400023
0.417579331401677,0.681005857602359
0.417586004565919,0.681028929897446
0.417592677123837,0.681052000489241
0.417599349188934,0.68107506977009
0.417606020724535,0.681098137613093
0.417612691780283,0.681121204189811
0.417619362404104,0.681144269665877
0.417626032499076,0.681167333706075
0.417632702058867,0.681190396288414
0.417639371110546,0.681213457506406
0.41764603972411,0.681236517602007
0.417652707805526,0.681259576249972
0.417659375437628,0.681282633736653
0.41766604255761,0.681305689844782
0.417672709265374,0.68132874491975
0.417679375322833,0.681351798138104
0.417686040846861,0.681374849903928
0.417692705952286,0.681397900614249
0.417699370662448,0.681420950349715
0.417706034782432,0.681443998436133
0.417712698458397,0.681467045378908
0.417719361578737,0.681490090791953
0.417726024192823,0.681513134845926
0.417732686488946,0.681536178192005
0.41773934821397,0.681559219954567
0.417746009499418,0.681582260588443
0.417752670182991,0.681605299532166
0.417759330455276,0.681628337444875
0.417765990205104,0.681651373941952
