FinalDrive,Grip_Fact,Time_75m_s,Reached75m,ErrorMessage
8.4,0.5,4.52215897457531,1,
8.5,0.5,4.52892282856463,1,
8.6,0.5,4.53277419471179,1,
8.7,0.5,4.53691158831421,1,
8.8,0.5,4.5416947076429,1,
8.9,0.5,4.54622967796434,1,
9,0.5,4.55454338433711,1,
9.1,0.5,4.55919230151802,1,
9.2,0.5,4.56416529648282,1,
9.3,0.5,4.56986720514919,1,
9.4,0.5,4.57498640915433,1,
9.5,0.5,4.58447636966635,1,
9.6,0.5,4.59008938636597,1,
9.7,0.5,4.59597351637698,1,
9.8,0.5,4.60208875323049,1,
9.9,0.5,4.61220890993587,1,
10,0.5,4.61881142025215,1,
10.1,0.5,4.62529405120146,1,
10.2,0.5,4.6325978607348,1,
10.3,0.5,4.63875849539475,1,
10.4,0.5,4.65020617254047,1,
10.5,0.5,4.65697663776418,1,
10.6,0.5,4.66452101801158,1,
10.7,0.5,4.67233399459309,1,
10.8,0.5,4.680648007426,1,
10.9,0.5,4.69224351893532,1,
11,0.5,4.70076918693245,1,
11.1,0.5,4.70909170743057,1,
11.2,0.5,4.71795121831234,1,
11.3,0.5,4.73026569804355,1,
11.4,0.5,4.73516298649822,1,
11.5,0.5,4.74175177664649,1,
11.6,0.5,4.75014806745648,1,
11.7,0.5,4.76157760671551,1,
11.8,0.5,4.77030265485296,1,
11.9,0.5,4.77873598728988,1,
12,0.5,4.78798487402181,1,
12.1,0.5,4.80032667700348,1,
12.2,0.5,4.80930646233171,1,
12.3,0.5,4.81767496623091,1,
12.4,0.5,4.82677444339392,1,
12.5,0.5,4.84037411506396,1,
2.5,0.6,5.10754265731476,1,
2.6,0.6,5.00769909539785,1,
2.7,0.6,4.91359128162831,1,
2.8,0.6,4.8246503855307,1,
2.9,0.6,4.74036652993679,1,
3,0.6,4.66042625769603,1,
3.1,0.6,4.58442066778209,1,
3.2,0.6,4.51209248604867,1,
3.3,0.6,4.44305331323977,1,
3.4,0.6,4.37717872501181,1,
3.5,0.6,4.31432397144156,1,
3.6,0.6,4.25463485285472,1,
3.7,0.6,4.19819450907581,1,
3.8,0.6,4.14501071156815,1,
3.9,0.6,4.09483703661953,1,
4,0.6,4.04762217815007,1,
4.1,0.6,4.00315333123954,1,
4.2,0.6,3.96129087173786,1,
4.3,0.6,3.92181483454938,1,
4.4,0.6,3.88464112975028,1,
4.5,0.6,3.84956765202689,1,
4.6,0.6,3.81819069637354,1,
4.7,0.6,4.06388713200175,1,
4.8,0.6,4.11989945630056,1,
4.9,0.6,4.11517716914128,1,
5,0.6,4.10871121680425,1,
5.1,0.6,4.09827588601957,1,
5.2,0.6,4.09290690793475,1,
5.3,0.6,4.08101661775884,1,
5.4,0.6,4.07658347910334,1,
5.5,0.6,4.0732339012422,1,
5.6,0.6,4.07066413846372,1,
5.7,0.6,4.06868487186164,1,
5.8,0.6,4.06772440252053,1,
5.9,0.6,4.06662841543714,1,
6,0.6,4.06528611358187,1,
6.1,0.6,4.06964970912993,1,
6.2,0.6,4.07159455072799,1,
6.3,0.6,4.07044556813883,1,
6.4,0.6,4.07040589721507,1,
6.5,0.6,4.06991361870674,1,
6.6,0.6,4.06984812033564,1,
6.7,0.6,4.07006668620255,1,
6.8,0.6,4.07053094953758,1,
6.9,0.6,4.07460031499194,1,
7,0.6,4.0758812615555,1,
7.1,0.6,4.07739212602722,1,
7.2,0.6,4.07878603986276,1,
7.3,0.6,4.08094125660886,1,
7.4,0.6,4.08258264008843,1,
7.5,0.6,4.08505499798143,1,
7.6,0.6,4.09299641773542,1,
7.7,0.6,4.09497023440304,1,
7.8,0.6,4.09748133322491,1,
7.9,0.6,4.09997209108168,1,
8,0.6,4.10279894766234,1,
8.1,0.6,4.10594103338752,1,
8.2,0.6,4.11276444913823,1,
8.3,0.6,4.11686165107344,1,
8.4,0.6,4.12142274777667,1,
8.5,0.6,4.12759498122798,1,
8.6,0.6,4.13199406699335,1,
8.7,0.6,4.13750447706798,1,
8.8,0.6,4.14270286998823,1,
8.9,0.6,4.15019419185204,1,
9,0.6,4.15610796952652,1,
9.1,0.6,4.16171566618765,1,
9.2,0.6,4.16767643266167,1,
9.3,0.6,4.17368366175209,1,
9.4,0.6,4.17960261162131,1,
9.5,0.6,4.1856925410671,1,
9.6,0.6,4.19622008565322,1,
9.7,0.6,4.20263433544113,1,
9.8,0.6,4.20930628848249,1,
9.9,0.6,4.2165013912486,1,
10,0.6,4.22355505469183,1,
10.1,0.6,4.23139508489937,1,
10.2,0.6,4.24329937611656,1,
10.3,0.6,4.25122986265901,1,
