Time_s,Acceleration_mps2
0.0520301052521482,5.65308622616811
0.0520326847521093,5.65347942610035
0.0520352644798143,5.65387262976424
0.0520378444355043,5.65426583721174
0.0520404246204548,5.65465904861585
0.0520430050336157,5.65505226386865
0.0520455856736338,5.65544548277159
0.0520481665419843,5.65583870547835
0.0520507476392918,5.65623193209634
0.0520533289637671,5.6566251624099
0.0520559105177148,5.65701839667717
0.0520584922985824,5.6574116346111
0.0520610743067065,5.65780487620099
0.0520636565453339,5.65819812186552
0.0520662390094909,5.65859137103212
0.0520688217025262,5.65898462402953
0.0520714046263413,5.65937788116338
0.0520739877761321,5.65977114186202
0.0520765711583731,5.66016440686001
0.0520791547655743,5.66055767531565
0.0520817386031883,5.6609509477814
0.0520843226698422,5.66134422417823
0.0520869069640238,5.66173750429252
0.0520894914869086,5.66213078823605
0.0520920762397311,5.66252407618785
0.0520946612202017,5.66291736788083
0.0520972464295804,5.66331066342765
0.0520998318685896,5.66370396294092
0.0521024175344359,5.66409726607626
0.0521050034302457,5.66449057317489
0.0521075895551498,5.66488388418454
0.0521101759093475,5.66527719911899
0.0521127624945281,5.66567051819754
0.0521153493076875,5.66606384106752
0.0521179363501178,5.66645716782975
0.0521205236216979,5.66685049848523
0.0521231111216581,5.66724383293237
0.0521256988497306,5.66763717111614
0.0521282868070173,5.6680305131681
0.0521308749938973,5.66842385915979
0.0521334634114501,5.66881720924197
0.0521360520585587,5.66921056329449
0.0521386409364609,5.66960392145312
0.0521412300406387,5.66999728315431
0.0521438193758831,5.67039064891474
0.0521464089395827,5.67078401848897
0.0521489987340377,5.67117739212804
0.0521515887581709,5.67157076973601
0.052154179009078,5.67196415091653
0.0521567694919171,5.67235753626433
0.0521593602058998,5.67275092578409
0.0521619511478485,5.67314431906159
0.0521645423206756,5.67353771639624
0.0521671337219077,5.67393111752066
0.0521697253569222,5.67432452308042
0.052172317218276,5.67471793222675
0.052174909311388,5.67511134550397
0.0521775016359986,5.6755047629765
0.0521800941903409,5.67589818442432
0.0521826869739311,5.67629160974203
0.0521852799893238,5.67668503923949
0.0521878732333471,5.67707847256066
0.052190466708626,5.67747190997816
0.0521930604152576,5.67786535155262
0.0521956543515704,5.67825879707609
0.052198248520493,5.67865224688727
0.0522008429175831,5.67904570047089
0.0522034375446652,5.67943915796684
0.0522060324006174,5.67983261925469
0.052208627488693,5.68022608473203
0.0522112228085219,5.68061955442169
0.0522138183592663,5.68101302821635
0.0522164141387233,5.68140650580884
0.0522190101498719,5.68179998752661
0.0522216063914694,5.68219347326735
0.0522242028645251,5.68258696314049
0.0522267995683675,5.68298045707702
0.0522293965017496,5.68337395490086
0.052231993667844,5.68376745698823
0.0522345910652714,5.68416096322749
0.0522371886939075,5.6845544735793
0.0522397865504205,5.68494798760374
0.0522423846411529,5.68534150603866
0.0522449829619707,5.68573502848323
0.0522475815150804,5.6861285551462
0.0522501802993276,5.68652208591454
0.0522527793139466,5.68691562066628
0.05225537855753,5.68730915919573
0.0522579780326835,5.68770270180084
0.0522605777399832,5.68809624860934
0.0522631776786833,5.68848979954579
0.0522657778531107,5.68888335515224
0.0522683782588694,5.68927691495681
0.0522709788937822,5.68967047858847
0.0522735797604449,5.69006404631317
0.0522761808575147,5.69045761800545
0.0522787821891073,5.69085119417186
0.0522813837518698,5.69124477447006
0.0522839855474331,5.69163835904474
0.0522865875728836,5.69203194754442
0.0522891898315671,5.69242554033458
0.0522917923234959,5.69281913748207
0.0522943950483859,5.69321273895955
0.0522969980019244,5.69360634420308
0.0522996011866722,5.69399995343843
0.0523022046055994,5.69439356708957
0.052304808255458,5.69478718481318
0.0523074121390144,5.69518080690041
0.0523100162523063,5.69557443289175
0.052312620599689,5.69596806326247
0.0523152251802844,5.69636169798472
0.0523178299914223,5.69675533670633
0.052320435037673,5.69714897994969
0.0523230403126637,5.6975426269873
0.0523256458232355,5.69793627856533
0.0523282515646724,5.69832993421139
0.0523308575398277,5.69872359420381
0.0523334637452114,5.69911725814229
0.0523360701841847,5.69951092638468
0.052338676856934,5.6999045990191
0.052341283761025,5.7002982757455
0.0523438909021616,5.70069195724105
0.0523464982723587,5.70108564259903
0.0523491058743319,5.70147933200037
0.0523517137123545,5.70187302602805
0.0523543217834762,5.70226672440674
0.0523569300890961,5.70266042726262
0.0523595386259442,5.70305413419544
0.0523621473940956,5.70344784513964
0.052364756399244,5.70384156081507
0.0523673656346954,5.70423528049026
0.0523699751010536,5.70462900410623
0.0523725848036258,5.70502273233457
0.0523751947412013,5.70541646514074
0.0523778049116423,5.70581020223964
0.0523804153133495,5.70620394337067
0.0523830259473284,5.7065976886143
0.0523856368185192,5.70699143861968
0.0523882479211049,5.70738519275542
0.0523908592558114,5.70777895099615
0.0523934708256113,5.70817271371845
0.0523960826291706,5.70856648081812
0.0523986946675315,5.70896025240723
0.0524013069371912,5.70935402805372
0.0524039194434694,5.70974780836012
0.0524065321829496,5.71014159299605
0.0524091451566223,5.71053538202529
0.0524117583654253,5.71092917557803
0.0524143718066426,5.71132297332693
0.0524169854806402,5.71171677525707
0.0524195993873388,5.71211058135464
0.052422213532217,5.71250439231957
0.0524248279085735,5.71289820741718
0.0524274425198069,5.71329202694596
0.0524300573642079,5.71368585074007
0.0524326724442183,5.71407967908057
0.0524352877585262,5.71447351184861
0.0524379033073911,5.71486734905308
0.0524405190882101,5.71526119035953
0.0524431351054165,5.71565503627408
0.0524457513560816,5.7160488865123
0.0524483678431074,5.71644274139176
0.0524509845644826,5.71683660071043
0.0524536015205885,5.71723046447745
0.0524562187107057,5.71762433260024
0.052458836136247,5.71801820524124
0.0524614537980031,5.71841208252973
0.052464071692503,5.71880596404175
0.0524666898210605,5.71919984986598
0.0524693081863204,5.71959374035692
0.0524719267846431,5.71998763511104
0.0524745456201402,5.720381534579
0.0524771646890672,5.72077543836173
0.0524797839925139,5.72116934652319
0.0524824035347927,5.72156325962648
0.0524850233073249,5.72195717667302
0.0524876433168727,5.72235109834371
0.0524902635615825,5.7227450245256
0.0524928840422118,5.72313895529236
0.0524955047574088,5.72353289048209
0.0524981257081016,5.72392683018184
0.0525007468944306,5.72432077442385
0.052503368317666,5.72471472337457
0.0525059899757676,5.72510867680081
0.0525086118700401,5.72550263482432
0.0525112339986178,5.72589659722682
0.0525138563635304,5.72629056422624
0.052516478963687,5.72668453572143
0.0525191017976592,5.72707851150898
0.052521724868927,5.72747249199564
0.0525243481747746,5.72786647690698
0.0525269717175873,5.72826046649547
0.0525295954941427,5.72865446039335
0.0525322195066793,5.72904845881751
0.0525348437569996,5.72944246203716
0.0525374682442113,5.72983646998501
0.0525400929675229,5.7302304825443
0.0525427179277356,5.73062449979353
0.0525453431231048,5.73101852152185
0.0525479685552954,5.73141254790149
0.0525505942231197,5.73180657881065
0.0525532201256432,5.73220061410561
0.0525558462633638,5.73259465382247
0.0525584726389431,5.73298869830712
0.0525610992520486,5.73338274757869
0.0525637261025848,5.73377680162542
0.0525663531881265,5.73417086013237
0.052568980510145,5.73456492322763
0.0525716080704661,5.73495899116677
0.0525742358638666,5.73535306332728
0.0525768638964876,5.73574714037744
0.0525794921666683,5.73614122222683
0.0525821206711429,5.73653530843856
0.0525847494122787,5.73692939923291
0.0525873783909718,5.73732349476395
0.0525900076074448,5.7377175950864
0.0525926370606172,5.73811170006979
0.0525952667509795,5.73850580975035
0.0525978966777006,5.73889992402676
0.0526005268415329,5.7392940429746
0.0526031572405507,5.73968816636041
0.0526057878783218,5.74008229459512
0.0526084187547147,5.74047642773593
0.0526110498678057,5.74087056554481
0.0526136812192557,5.74126470818731
0.0526163128071691,5.74165885545007
0.0526189446319467,5.7420530073429
0.0526215766932283,5.74244716382037
0.0526242089931597,5.74284132514639
0.0526268415324054,5.74323549145245
0.0526294743073134,5.74362966229409
0.0526321073188556,5.74402383771123
0.0526347405678436,5.74441801781388
0.052637374053382,5.74481220250688
0.0526400077783096,5.74520639213295
0.0526426417417769,5.7456005866449
0.0526452759420157,5.74599478580571
0.0526479103839343,5.746388990195
0.0526505450602594,5.74678319899023
0.0526531799771314,5.74717741281967
0.0526558151301166,5.74757163123313
0.0526584505204311,5.74796585430032
0.052661086150061,5.7483600822862
0.0526637220196756,5.74875431532295
0.0526663581257013,5.74914855297687
0.0526689944709011,5.74954279551765
0.052671631053096,5.74993704271617
0.052674267873355,5.75033129466453
0.0526769049317888,5.75072555139258
0.0526795422291925,5.75111981300534
0.0526821797647539,5.75151407941673
0.0526848175408366,5.75190835090957
0.0526874555510189,5.75230262671638
0.0526900938011908,5.75269690744369
0.0526927322913434,5.75309119320171
0.0526953710200732,5.75348548382935
0.0526980099871318,5.75387977926265
0.0527006491953926,5.75427407985346
0.0527032886390499,5.75466838492576
0.0527059283234006,5.75506269502667
0.0527085682465264,5.75545701001216
0.0527112084063038,5.75585132958316
0.0527138488054336,5.7562456540267
0.0527164894415744,5.75663998309702
0.0527191303201689,5.75703431743922
0.0527217714370984,5.75742865664651
0.0527244127943847,5.75782300089754
0.0527270543888028,5.75821734981327
0.0527296962240015,5.75861170378567
0.0527323382981792,5.75900606265668
0.0527349806132199,5.75940042663412
0.0527376231655977,5.75979479530609
0.0527402659564163,5.76018916873496
0.0527429089885688,5.760583547299
0.0527455522600611,5.76097793081283
0.0527481957682914,5.7613723189092
0.0527508395190875,5.76176671225924
0.0527534835088238,5.76216111052494
0.0527561277386137,5.76255551378229
0.0527587722070667,5.76294992186697
0.0527614169167467,5.76334433507238
0.0527640618649275,5.76373875310483
0.0527667070533805,5.76413317613282
0.0527693524810851,5.76452760405649
0.0527719981471306,5.76492203674003
0.052774644054328,5.76531647451386
0.052777290200922,5.76571091721474
0.0527799365892777,5.76610536511027
0.0527825832167607,5.76649981791342
0.0527852300852503,5.76689427580711
0.0527878771940873,5.76728873873976
0.0527905245435238,5.76768320673156
0.0527931721321625,5.76807767960703
0.0527958199607581,5.76847215742778
0.0527984680301869,5.7688666403151
0.0528011163412697,5.76926112839363
0.0528037648937611,5.76965562165285
0.0528064136865675,5.77005011994949
0.0528090627183503,5.77044462308525
0.0528117119919081,5.77083913137694
0.0528143615058829,5.77123364470966
0.0528170112580812,5.77162816278213
0.0528196612526497,5.77202268606299
0.0528223114878658,5.77241721441943
0.0528249619656101,5.77281174806258
0.0528276126804807,5.77320628634485
0.0528302636357095,5.77360082955434
0.0528329148360501,5.77399537834618
0.0528355662774997,5.77438993233181
0.0528382179609437,5.77478449154764
0.0528408698842942,5.77517905573373
0.0528435220498503,5.77557362513127
0.0528461744539565,5.77596819932072
0.0528488271009123,5.77636277876739
0.052851479987404,5.77675736313692
0.0528541331153479,5.77715195260802
0.0528567864854178,5.77754654729786
0.0528594400975855,5.77794114722243
0.0528620939501237,5.77833575216367
0.052864748045826,5.77873036243277
0.0528674023799013,5.7791249774794
0.0528700569577191,5.7795195978793
0.0528727117749376,5.77991422318878
0.052875366836148,5.78030885390428
0.052878022140985,5.78070349006977
0.0528806776842087,5.78109813102747
0.052883333472735,5.7814927775282
0.0528859895021185,5.78188742914761
0.0528886457725855,5.78228208583293
0.0528913022842153,5.78267674758325
0.0528939590392977,5.78307141468672
0.0528966160375735,5.78346608716211
0.0528992732773117,5.78386076479139
0.0529019307569421,5.78425544733365
0.052904588478897,5.78465013505078
0.052907246443529,5.78504482803506
0.0529099046516249,5.78543952640101
0.0529125631006046,5.78583422984146
0.0529152217924107,5.78622893854285
0.0529178807281968,5.78662365268402
0.0529205399052243,5.78701837194984
0.052923199323863,5.78741309632644
0.0529258589865097,5.78780782611282
0.0529285188918553,5.78820256119734
0.0529311790390475,5.78859730144928
0.0529338394302586,5.78899204711691
0.0529365000608588,5.78938679766013
0.0529391609380774,5.78978155388981
0.0529418220557023,5.79017631517083
0.0529444834182027,5.79057108194668
0.0529471450243869,5.79096585414773
0.0529498068714892,5.79136063140936
0.0529524689622993,5.79175541401435
0.0529551312944011,5.79215020170937
0.0529577938707665,5.79254499482081
0.0529604566920618,5.79293979349182
0.0529631197546342,5.79333459728547
0.0529657830619849,5.79372940656012
0.0529684466102797,5.79412422089738
0.0529711104017939,5.79451904050485
0.0529737744389945,5.79491386573125
0.052976438717277,5.79530869605849
0.0529791032435662,5.79570353226099
0.0529817680082862,5.79609837327347
